dateTime,price
2021-12-09 23:23:30.776,48266.12386176003
2021-12-09 23:28:19.968,48322.71494528834
2021-12-09 23:34:03.556,48255.38856195714
2021-12-09 23:40:02.873,48161.34509175158
2021-12-09 23:42:51.962,48128.23883791892
2021-12-09 23:50:02.628,48036.19015652743
2021-12-09 23:53:32.420,47884.08801105495
2021-12-09 23:58:31.095,47885.871989417064
2021-12-10 00:03:36.591,47746.62457384658
2021-12-10 00:06:29.850,47700.23404320073
2021-12-10 00:13:18.136,47839.92527169505
2021-12-10 00:19:11.279,47874.22975312569
2021-12-10 00:22:31.308,47935.83224828756
2021-12-10 00:29:14.333,47941.45370105364
2021-12-10 00:32:37.129,48053.50098791959
2021-12-10 00:39:24.495,48712.872855859285
2021-12-10 00:42:36.386,48605.88669996849
2021-12-10 00:48:54.218,48512.01395598907
2021-12-10 00:54:07.883,48321.12942106033
2021-12-10 00:59:06.623,47811.482175064986
2021-12-10 01:02:04.936,47815.966296979765
2021-12-10 01:08:55.990,47877.32889955077
2021-12-10 01:14:10.967,48069.75252084101
2021-12-10 01:20:09.586,48214.58867044881
2021-12-10 01:23:25.811,48416.67415872917
2021-12-10 01:28:40.251,48423.414993954975
2021-12-10 01:34:51.798,48547.65766338081
2021-12-10 01:38:14.685,48536.00154482919
2021-12-10 01:43:03.273,48612.3530086768
2021-12-10 01:48:26.496,48588.19682375951
2021-12-10 01:54:38.949,48521.412751985335
2021-12-10 01:59:17.076,48490.35760830535
2021-12-10 02:01:49.202,48483.885333715036
2021-12-10 02:08:58.155,48453.73924485121
2021-12-10 02:15:00.045,48422.26386354242
2021-12-10 02:19:29.617,48458.90122012631
2021-12-10 02:22:23.981,48564.29490953021
2021-12-10 02:28:17.924,48684.11750291825
2021-12-10 02:33:20.650,48652.59998623512
2021-12-10 02:38:49.559,48668.555726446626
2021-12-10 02:41:58.277,48625.61204922061
2021-12-10 02:49:57.870,48617.243788628555
2021-12-10 02:54:40.103,48556.279791244895
2021-12-10 03:00:08.342,48597.08569367682
2021-12-10 03:04:38.157,48548.68768184693
